titre,url,organisation,date
Demandes de valeurs foncières,https://www.data.gouv.fr/datasets/demandes-de-valeurs-foncieres,Ministères économiques et financiers,Mis à jour le 5 avr. 2026
Répertoire national des élus,https://www.data.gouv.fr/datasets/repertoire-national-des-elus-1,Ministère de l'intérieur,Mis à jour le 9 juin 2026
Population,https://www.data.gouv.fr/datasets/population,Institut national de la statistique et des études économiques (Insee),Mis à jour il y a 12 jours
Plan Cadastral Informatisé,https://www.data.gouv.fr/datasets/plan-cadastral-informatise,Ministères économiques et financiers,Mis à jour le mois dernier
Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2024,https://www.data.gouv.fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2024,Ministère de l'intérieur,Mis à jour le 29 déc. 2025
Service-public.gouv.fr - Annuaire de l’administration - Base de données locales,https://www.data.gouv.fr/datasets/service-public-gouv-fr-annuaire-de-ladministration-base-de-donnees-locales,Premier ministre,Mis à jour il y a 4 jours
Fichiers des locaux et des parcelles des personnes morales,https://www.data.gouv.fr/datasets/fichiers-des-locaux-et-des-parcelles-des-personnes-morales,Ministères économiques et financiers,Mis à jour le 25 mars 2021
Données hospitalières relatives à l'épidémie de COVID-19,https://www.data.gouv.fr/datasets/donnees-hospitalieres-relatives-a-lepidemie-de-covid-19,Santé publique France,Mis à jour le 30 juin 2023
"Bases statistiques communale, départementale et régionale de la délinquance enregistrée par la police et la gendarmerie nationales",https://www.data.gouv.fr/datasets/bases-statistiques-communale-departementale-et-regionale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales,Ministère de l'intérieur,Mis à jour il y a 22 jours
Géolocalisation des établissements du répertoire SIRENE-pour les études statistiques,https://www.data.gouv.fr/datasets/geolocalisation-des-etablissements-du-repertoire-sirene-pour-les-etudes-statistiques,Institut national de la statistique et des études économiques (Insee),Mis à jour il y a 10 jours
